screen_name,name,description,location,expanded_url,verified,#followers,#friends,#listed,#statuses,joined
RepDavidValadao,Rep. David Valadao,Proudly Representing California's 21st Congressional District.,"Hanford, California",http://Valadao.House.Gov,true,17182,423,640,1067,2013-01-28T16:19:14+00:00
MartinHeinrich,Martin Heinrich,United States Senator from New Mexico,"",http://heinrich.senate.gov,true,182788,565,1761,6703,2013-01-17T20:24:19+00:00
SenatorRisch,Jim Risch,U.S. Senator for Idaho,Boise,http://risch.senate.gov,true,67380,298,1384,1371,2013-01-16T18:58:23+00:00
RepCheri,Rep. Cheri Bustos,Serving Illinois' 17th District. Wife & mother of 3 sons. Athlete. Former reporter. Fighting #ForThePeople as Co-Chair of DPCC. Facebook & Instagram: RepCheri.,"Illinois & Washington, D.C.",http://bustos.house.gov,true,29139,4287,908,3794,2013-01-15T19:15:03+00:00
RepJBridenstine,Jim Bridenstine,Congressman Jim Bridenstine has the honor of serving Oklahoma's First Congressional District.,"",http://Bridenstine.House.Gov,,22402,2665,1014,1436,2013-01-15T17:33:38+00:00
CongressmanRuiz,Raul Ruiz,Emergency room doctor and public servant. Proudly serving California's 36th Congressional District.,"",http://www.ruiz.house.gov,true,18067,6,620,1079,2013-01-14T18:58:43+00:00
RepAndyBarr,Rep. Andy Barr,Honored to represent Kentucky's Sixth Congressional District.  Fighting to get Kentuckians back to work and restore fiscal responsibility to Washington,"Lexington, KY",http://barr.house.gov,true,18541,1190,608,3256,2013-01-14T15:29:49+00:00
RepFilemonVela,US Rep. Filemon Vela,U.S. Congressman for the 34th District of Texas - Privileged to represent South Texans.,"District 34, Texas",http://vela.house.gov,true,13409,378,603,1347,2013-01-12T16:24:06+00:00
RepSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Congresswoman Kyrsten Sinema, serving Arizona's 9th District.","",http://Sinema.house.gov,true,38547,752,1095,11299,2013-01-11T20:31:03+00:00
RepBillFoster,Bill Foster,Congressman Bill Foster is a scientist and businessman representing the 11th Congressional District of Illinois,"Naperville, IL ",http://foster.house.gov/about/full-biography,true,42042,1971,726,2842,2013-01-11T18:17:11+00:00
RepRWilliams,Rep. Roger Williams,I am honored to represent the 25th Congressional District of Texas. Member of @FinancialCmte.,Central Texas,http://www.williams.house.gov,true,10303,709,529,4303,2013-01-10T19:21:22+00:00
RepLoisFrankel,Rep. Lois Frankel,Representative from Florida's 21st Congressional District. Chair of @HouseDemWomen.,"",https://www.facebook.com/RepLoisFrankel#,true,24433,1506,822,5573,2013-01-10T16:58:38+00:00
SenatorBaldwin,Sen. Tammy Baldwin,"Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.","Washington, D.C.",http://www.baldwin.senate.gov/,true,103469,2664,2163,12203,2013-01-09T18:29:44+00:00
SenTedCruz,Senator Ted Cruz,Representing the State of Texas in the United States Senate.,"Houston, Texas",http://cruz.senate.gov,true,1146284,7173,8231,9049,2013-01-09T18:11:37+00:00
RepPaulCook,Rep. Paul Cook,Twenty-six year retired @USMC Colonel serving as a United States Congressman from California's 8th Congressional District. Join the conversation #CA08 #Semperfi,"Apple Valley, California",http://cook.house.gov,true,15037,1150,625,1539,2013-01-09T17:43:44+00:00
RepVeasey,Rep. Marc Veasey,"Represent the DFW Metroplex. @HASCDemocrats | Co-Chair @BlueCollarDems | Founded Voting Rights Caucus 🗳 Fighting for North Texans. #TXWES alum, Go Rams!","Dallas-Fort Worth, Texas",https://veasey.house.gov/,true,19427,3063,710,3375,2013-01-09T15:49:27+00:00
SusanWBrooks,Susan W. Brooks,Serving the good people of Indiana’s 5th District in Congress. Facebook: https://t.co/GSC0yQ0KXW Instagram & Snapchat: @susanwbrooks,"",http://www.susanwbrooks.house.gov/,true,19148,1162,734,5844,2013-01-09T15:30:38+00:00
RepSeanMaloney,Sean Patrick Maloney,Proud to represent New York's 18th Congressional District,"Cold Spring, NY",http://seanmaloney.house.gov/,true,27256,1070,819,4811,2013-01-09T01:00:33+00:00
RepChrisStewart,Rep. Chris Stewart,"Utah's 2nd District Congressman. Former Air Force B-1 pilot, author, House Intelligence & Appropriations Committees. Visit http://t.co/GUW6weAva6",Utah and DC,http://stewart.house.gov,true,17615,362,670,2981,2013-01-08T21:08:19+00:00
RepTedYoho,Ted Yoho,Representing Florida's 3rd Congressional District; large animal veterinarian; conservative business owner; Member of @HouseForeign  & @HouseAgNews Committees,"",http://yoho.house.gov,true,30007,313,829,1128,2013-01-08T20:25:18+00:00
RepSchneider,Rep. Brad Schneider,Proud to represent the people of Illinois's 10th Congressional District,Illinois,http://schneider.house.gov,true,8083,1051,461,3231,2013-01-08T19:59:14+00:00
SenatorFischer,Senator Deb Fischer,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington,"",http://fischer.senate.gov,true,70336,192,1578,4898,2013-01-08T16:49:07+00:00
RepHuffman,Rep. Jared Huffman,Congressman for California's North Coast. On Facebook at https://t.co/a4QfL2Jw5p.   Listen to my brand new podcast at https://t.co/XDE8MuHKxF,California's North Coast,http://huffman.house.gov,true,27227,821,733,2250,2013-01-08T14:52:00+00:00
RepLaMalfa,Rep. Doug LaMalfa,"Representing California's First District including Siskiyou, Shasta, Tehama, Butte, Glenn, Modoc, Lassen, Plumas, Sierra, Nevada and Placer Counties",Northern California,http://LaMalfa.house.gov,true,15839,976,568,751,2013-01-07T20:07:58+00:00
RepDennyHeck,Denny Heck,"Proudly representing #WA10 in U.S. Congress. Husband, (gran)dad, @GonzagaBulldogs fan & #12thMan.  Serves on House Intel (#FollowtheFacts) & @FSCDems.","South Puget Sound, WA",http://facebook.com/CongressmanDennyHeck,true,21865,3805,623,3972,2013-01-07T14:55:36+00:00
SenAngusKing,Senator Angus King,News from the office of Independent U.S. Senator Angus King of Maine. Operated by the Press Team. Following/retweeting does not equal an endorsement.,"",http://king.senate.gov,true,200754,547,1857,3666,2013-01-07T14:52:27+00:00
RepWalorski,Jackie Walorski,Representing Indiana's Second Congressional District,"",http://walorski.house.gov,true,16212,697,670,4401,2013-01-06T15:41:40+00:00
TulsiPress,Rep. Tulsi Gabbard,"Aloha - Official account of Rep Tulsi Gabbard (HI-02), managed by staff. (Use of TG's military rank, title, or photo do not imply Army or DoD endorsement.)","",http://gabbard.house.gov,true,102191,1148,1291,4097,2013-01-05T22:57:50+00:00
RepLujanGrisham,MichelleLujanGrisham,Proudly serving New Mexico's 1st Congressional District. Serving on House Agriculture and Budget Committees.,"Albuquerque, NM",http://lujangrisham.house.gov,true,26707,564,728,6078,2013-01-04T20:46:03+00:00
SenatorHeitkamp,Sen. Heidi Heitkamp,"Official Twitter account for Heidi Heitkamp, U.S. Senator for #NorthDakota. Learn more on Facebook: https://t.co/ZCl7NIcTbR Instagram: https://t.co/SXzn7kNVUs","",https://heitkamp.senate.gov,true,115711,823,1759,12269,2013-01-04T17:57:48+00:00
RepEsty,Elizabeth Esty,"Mom, community advocate, and U.S. Representative for Connecticut's 5th Congressional District. This is the official account for my Congressional office.","Cheshire, CT",http://Esty.House.gov,true,22101,1449,780,6454,2013-01-04T17:36:04+00:00
RepDougCollins,Rep. Doug Collins,"Working for Georgia's 9th Congressional District. Pastor, attorney, military chaplain. Find me @HouseJudiciary when in session, beautiful #GA09 all other times.","Gainesville, Georgia",http://dougcollins.house.gov/,true,17494,941,650,3483,2013-01-04T13:43:55+00:00
RepMullin,Markwayne Mullin,Father of five. Small business owner. Honored to represent Oklahoma’s conservative values in Congress. https://t.co/0jHkAECORk,Oklahoma,http://www.mullin.house.gov,true,17167,1165,621,2743,2013-01-04T12:43:55+00:00
RepDerekKilmer,Rep. Derek Kilmer,Representing Washington's 6th District in the House of Representatives           FB: https://t.co/byKNKNH1UP,"",http://kilmer.house.gov/,true,23590,237,677,2249,2013-01-03T22:15:02+00:00
RepDeSantis,Ron DeSantis,The archived tweets of former Representative Ron DeSantis. This is an inactive account.,"",,true,240191,1368,1372,2438,2013-01-03T21:20:17+00:00
RepAnnieKuster,Ann McLane Kuster,Honored to serve the people of New Hampshire’s Second District in Congress.,NH's 2nd District,http://kuster.house.gov/,true,18753,2347,710,3976,2013-01-03T20:29:22+00:00
SenDuckworth,Tammy Duckworth,"Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit","",http://duckworth.senate.gov,true,512059,7177,2823,4458,2013-01-03T18:59:33+00:00
RepHolding,George Holding,"Official Twitter account for Congressman George Holding, representing North Carolina's 2nd Congressional District.","",http://holding.house.gov,true,14568,432,605,791,2013-01-03T18:27:36+00:00
RepTomRice,Congressman Tom Rice,Former CPA and tax lawyer. Proudly representing South Carolina's 7th Congressional District. Find me on FB at https://t.co/1YXogZ4l3N.,"",http://rice.house.gov,true,15294,414,544,1578,2013-01-03T17:35:05+00:00
RepChrisCollins,Rep. Chris Collins,Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce,"",,true,18324,681,712,3735,2013-01-03T16:55:01+00:00
TXRandy14,Randy Weber,Representative for the 14th Congressional District of Texas.  http://t.co/3YiUH4dPNE | Instagram: TXRandy14,"Friendswood, TX",http://weber.house.gov,true,14288,458,633,2470,2013-01-03T15:30:06+00:00
RepJoeKennedy,Rep. Joe Kennedy III,"Official Twitter account of Congressman Joe Kennedy III, representing Massachusetts' 4th Congressional District.","",http://kennedy.house.gov,true,718751,677,2777,4530,2013-01-02T19:33:36+00:00
RepLowenthal,Rep. Alan Lowenthal,Proudly serving California's 47th Congressional District. http://t.co/pHmhAyCM6J,"Long Beach, CA",http://lowenthal.house.gov,true,26634,3256,769,3931,2013-01-02T18:11:33+00:00
USRepRickNolan,US Rep. Rick Nolan,Official Twitter account for U.S Congressman Rick Nolan. Proudly serving the people of Minnesota's 8th Congressional District. Working to #RestoreDemocracy.,"",http://nolan.house.gov,true,12745,1118,666,2896,2013-01-02T17:51:28+00:00
RepAnnWagner,Ann Wagner,Official Twitter account for Congresswoman Ann Wagner-- proudly Representing the 2nd Congressional District of Missouri https://t.co/6TKCrqRcSw,"Ballwin, MO",http://wagner.house.gov,true,19273,2727,736,3319,2013-01-01T00:01:45+00:00
RepGraceMeng,Grace Meng,"Representing NY's 6th Congressional District - Parts of West, Central and Northeast Queens.

For specific questions or concerns, please contact my office.","",http://meng.house.gov,true,23747,689,834,4160,2012-12-31T20:28:41+00:00
RepKevinCramer,Rep. Kevin Cramer,Representing the great people of North Dakota in the United States House of Representatives. Member of @HouseCommerce,"",http://cramer.house.gov,true,14822,649,639,3069,2012-12-30T20:54:06+00:00
